Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
List of heads of state and government who died in office,Vasil Kolarov,Prime Minister - Bulgaria - NA - Sofia,1950,1950,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Enrico Mizzi,Prime Minister - Malta - NA - Valletta,1950,1950,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Víctor Manuel Román y Reyes,President - Nicaragua - Heart attack - Philadelphia,1950,1950,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Carlos Delgado Chalbaud,President - Venezuela - Assassination - Caracas,1950,1950,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Karl Renner,President - Austria - Stroke - Vienna,1950,1950,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Óscar Carmona,President - Portugal - Illness - bronchopneumonia - Lisbon,1951,1951,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Rangsit Prayurasakdi,Regent - Thailand - Heart attack - Bangkok,1951,1951,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Haj Ali Razmara,Prime Minister - Iran - Assassination - shooting - Tehran,1951,1951,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Liaquat Ali Khan,Prime Minister - Pakistan - Assassination - shooting - Rawalpindi,1951,1951,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,D. S. Senanayake,Prime Minister - Ceylon - Accident - fell off horse - Colombo,1952,1952,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Khorloogiin Choibalsan,Chairman of the Council of Ministers - Mongolia - Illness - kidney cancer - Moscow,1952,1952,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Sveinn Björnsson,President - Iceland - Illness - Reykjavík,1952,1952,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Chaim Weizmann,President - Israel - Illness - Rehovot,1952,1952,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Adriaan Alberga,Prime Minister - Suriname - NA - Paramaribo,1952,1952,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Pierre Dupong,Prime Minister - Luxembourg - NA - Luxembourg City,1953,1953,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Joseph Stalin,Chairman of the Council of Ministers - Soviet Union - Illness - cerebral haemorrhage - Moscow,1953,1953,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Klement Gottwald,President - Czechoslovakia - Heart attack - Prague,1953,1953,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Gonchigiin Bumtsend,Chairman of the Presidium of the State Little Khural - Mongolia - NA - NA,1953,1953,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Getúlio Vargas,President - Brazil - Suicide - Rio de Janeiro,1954,1954,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,José Antonio Remón Cantera,President - Panama - Assassination - shooting - Panama City,1955,1955,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Hans Hedtoft,Prime Minister - Denmark - Heart attack - Stockholm,1955,1955,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Alexandros Papagos,Prime Minister - Greece - Illness - lung haemorrhage - Athens,1955,1955,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Anastasio Somoza García,President - Nicaragua - Assassination - shooting - Ancón,1956,1956,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Bolesław Bierut,General Secretary of the United Workers' Party - Poland - NA - Moscow,1956,1956,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Theodor Körner,President - Austria - Stroke - Vienna,1957,1957,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Antonín Zápotocký,President - Czechoslovakia - NA - Prague,1957,1957,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Carlos Castillo Armas,President - Guatemala - Assassination - shooting - Guatemala City,1957,1957,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Ramón Magsaysay,President - Philippines - Accident - plane crashed into mountain - Balamban,1957,1957,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Daniel Ouezzin Coulibaly,President of the Government Council - Upper Volta - NA - Paris,1958,1958,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Barthélemy Boganda,Prime Minister - Central African Republic - Accident - plane exploded and crashed on ground - Boda,1958,1958,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Petru Groza,President of the Presidium of the Great National Assembly - Romania - Illness - stomach complications - Bucharest,1958,1958,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Markus Feldmann,Member of the Federal Council - Switzerland - NA - Bern,1958,1958,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Georgi Damyanov,Chairman of the Presidium of the National Assembly - Bulgaria - NA - Sofia,1958,1958,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Johannes Gerhardus Strijdom,Prime Minister - South Africa - Illness - cancer - Cape Town,1958,1958,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Ernest George Jansen,Governor-General - South Africa - NA - Pretoria,1959,1959,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Pierre Frieden,Prime Minister - Luxembourg - NA - Zurich,1959,1959,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,S. W. R. D. Bandaranaike,Prime Minister - Ceylon - Assassination - shooting - Colombo,1959,1959,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,H. C. Hansen,Prime Minister - Denmark - Illness - cancer - Copenhagen,1960,1960,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Wilhelm Pieck,President - East Germany - Stroke - Berlin,1960,1960,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Hazza' al-Majali,Prime Minister - Jordan - Assassination - bombing - Amman,1960,1960,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Abebe Aregai,Prime Minister - Ethiopia - Assassination - shooting - Addis Ababa,1960,1960,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Louis Rwagasore,Prime Minister - Rwanda - Assassination - shooting - Bujumbura,1961,1961,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Nicola Canali,President of the Governorate & President of the Pontifical Commission - Vatican City - Illness - pneumonia - Vatican City,1961,1961,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,William Morrison,Governor-General - Australia - Illness - pulmonary embolism - Canberra,1961,1961,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Rafael Trujillo,de facto leader - Dominican Republic - Assassination - shooting - Ciudad Trujillo,1961,1961,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Abd al-Karim Qasim,Prime Minister - Iraq - Assassination - shooting - Baghdad,1963,1963,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Sylvanus Olympio,President - Togo - Assassination - shooting - Lomé,1963,1963,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Yitzhak Ben-Zvi,President - Israel - NA - Jerusalem,1963,1963,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,John F. Kennedy,President - United States - Assassination - shooting - Dallas,1963,1963,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Sarit Thanarat,Prime Minister - Thailand - Illness - liver failure - Bangkok,1963,1963,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Ngo Dinh Diem,President - South Vietnam - Assassination - shooting - Saigon,1963,1963,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Dimitar Ganev,Chairman of the Presidium of the National Assembly - Bulgaria - NA - Sofia,1964,1964,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
List of heads of state and government who died in office,Jigme Palden Dorji,Prime Minister - Bhutan - Assassination - shooting - Phuntsholing,1964,1964,,https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_who_died_in_office,2023-02-04
